hong kong |Hong Kong,4/10/2014,20,1,0.05
hong kong |Hong Kong,5/10/2014,13,1,0.07692307692307693
hong kong |Hong Kong,6/10/2014,23,0,0.0
hong kong |Hong Kong,8/10/2014,21,0,0.0
hong kong |Hong Kong,30/09/2014,25,2,0.08
hong kong |Hong Kong,9/10/2014,21,1,0.047619047619047616
hong kong |Hong Kong,7/10/2014,23,0,0.0
hong kong |Hong Kong,2/10/2014,24,1,0.041666666666666664
hong kong |Hong Kong,1/10/2014,18,0,0.0
hong kong |Hong Kong,3/10/2014,20,0,0.0
